id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
159,Machine Learning,Allinclusive Foundation,Work From Home,Work From Home,3,3000,"Python, Machine Learning, Artifical Intelligence",Python
160,Machine Learning,Allinclusive Foundation,Work From Home,Work From Home,3,3000,"Python, Machine Learning, Artifical Intelligence",Machine Learning
161,Machine Learning,Allinclusive Foundation,Work From Home,Work From Home,3,3000,"Python, Machine Learning, Artifical Intelligence",Artifical Intelligence
162,NLP/Machine Learning Development,Neha Yadav,Work From Home,Work From Home,3,,"Python, Machine Learning, Natural Language Processing (NLP)",Python
163,NLP/Machine Learning Development,Neha Yadav,Work From Home,Work From Home,3,,"Python, Machine Learning, Natural Language Processing (NLP)",Machine Learning
164,NLP/Machine Learning Development,Neha Yadav,Work From Home,Work From Home,3,,"Python, Machine Learning, Natural Language Processing (NLP)",Natural Language Processing (NLP)
165,Machine Learning,EnR Consultancy Services,Work From Home,Work From Home,6,1000-6000,"Python, Machine Learning, Raspberry Pi, Embedded Systems, Deep Learning, Artifical Intelligence",Python
166,Machine Learning,EnR Consultancy Services,Work From Home,Work From Home,6,1000-6000,"Python, Machine Learning, Raspberry Pi, Embedded Systems, Deep Learning, Artifical Intelligence",Machine Learning
167,Machine Learning,EnR Consultancy Services,Work From Home,Work From Home,6,1000-6000,"Python, Machine Learning, Raspberry Pi, Embedded Systems, Deep Learning, Artifical Intelligence",Raspberry Pi
168,Machine Learning,EnR Consultancy Services,Work From Home,Work From Home,6,1000-6000,"Python, Machine Learning, Raspberry Pi, Embedded Systems, Deep Learning, Artifical Intelligence",Embedded Systems
169,Machine Learning,EnR Consultancy Services,Work From Home,Work From Home,6,1000-6000,"Python, Machine Learning, Raspberry Pi, Embedded Systems, Deep Learning, Artifical Intelligence",Deep Learning
170,Machine Learning,EnR Consultancy Services,Work From Home,Work From Home,6,1000-6000,"Python, Machine Learning, Raspberry Pi, Embedded Systems, Deep Learning, Artifical Intelligence",Artifical Intelligence
171,Business Analysis,Cloudify,Work From Home,Work From Home,6,15000,Not Found,nan
172,Machine Learning,Robocom International,Mumbai,Mumbai,2,3000-6000,"Python, Machine Learning, Deep Learning",Python
173,Machine Learning,Robocom International,Mumbai,Mumbai,2,3000-6000,"Python, Machine Learning, Deep Learning",Machine Learning
174,Machine Learning,Robocom International,Mumbai,Mumbai,2,3000-6000,"Python, Machine Learning, Deep Learning",Deep Learning
175,Data Analytics,Mapup India Private Limited,Work From Home,Work From Home,6,30000-40000,"Python, SQL, PostgreSQL, MS-Excel, Data Analytics",Python
176,Data Analytics,Mapup India Private Limited,Work From Home,Work From Home,6,30000-40000,"Python, SQL, PostgreSQL, MS-Excel, Data Analytics",MySQL
177,Data Analytics,Mapup India Private Limited,Work From Home,Work From Home,6,30000-40000,"Python, SQL, PostgreSQL, MS-Excel, Data Analytics",PostgreSQL
178,Data Analytics,Mapup India Private Limited,Work From Home,Work From Home,6,30000-40000,"Python, SQL, PostgreSQL, MS-Excel, Data Analytics",MS-Excel
179,Data Analytics,Mapup India Private Limited,Work From Home,Work From Home,6,30000-40000,"Python, SQL, PostgreSQL, MS-Excel, Data Analytics",Data Analytics
180,Data Extraction,Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Python, Shell Scripting, Data Science",Python
181,Data Extraction,Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Python, Shell Scripting, Data Science",Shell Scripting
182,Data Extraction,Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Python, Shell Scripting, Data Science",Data Science
183,Data Science,Sourcewiz,Gurgaon,Gurgaon,3,10000-15000,"Python, SQL, Statistical Modeling, Data Science",Python
184,Data Science,Sourcewiz,Gurgaon,Gurgaon,3,10000-15000,"Python, SQL, Statistical Modeling, Data Science",MySQL
185,Data Science,Sourcewiz,Gurgaon,Gurgaon,3,10000-15000,"Python, SQL, Statistical Modeling, Data Science",Statistical Modeling
186,Data Science,Sourcewiz,Gurgaon,Gurgaon,3,10000-15000,"Python, SQL, Statistical Modeling, Data Science",Data Science
187,Web Development,DSights Consultancy Services Private Limited,Work From Home,Work From Home,6,10000-12000,Not Found,nan
188,Business Analysis,Iauro System Private Limited,Pune,Pune,6,8000,Not Found,nan
189,Data Analytics,TBM Technologies Private Limited,Delhi,Delhi,3,5000,"Python, Data Analytics, Statistical Modeling, Machine Learning, Natural Language Processing (NLP)",Python
190,Data Analytics,TBM Technologies Private Limited,Delhi,Delhi,3,5000,"Python, Data Analytics, Statistical Modeling, Machine Learning, Natural Language Processing (NLP)",Data Analytics
191,Data Analytics,TBM Technologies Private Limited,Delhi,Delhi,3,5000,"Python, Data Analytics, Statistical Modeling, Machine Learning, Natural Language Processing (NLP)",Statistical Modeling
192,Data Analytics,TBM Technologies Private Limited,Delhi,Delhi,3,5000,"Python, Data Analytics, Statistical Modeling, Machine Learning, Natural Language Processing (NLP)",Machine Learning
193,Data Analytics,TBM Technologies Private Limited,Delhi,Delhi,3,5000,"Python, Data Analytics, Statistical Modeling, Machine Learning, Natural Language Processing (NLP)",Natural Language Processing (NLP)
194,Data Analytics,Pixelo Digital,Work From Home,Work From Home,3,5000,"Python, SQL, Django, MS-Excel",Python
195,Data Analytics,Pixelo Digital,Work From Home,Work From Home,3,5000,"Python, SQL, Django, MS-Excel",MySQL
196,Data Analytics,Pixelo Digital,Work From Home,Work From Home,3,5000,"Python, SQL, Django, MS-Excel",Django
197,Data Analytics,Pixelo Digital,Work From Home,Work From Home,3,5000,"Python, SQL, Django, MS-Excel",MS-Excel
198,Data Operations Analysis,Lohum Cleantech Private Limited,Greater Noida,Greater Noida,3,20000-30000,"Python, MS-Excel, English Proficiency (Written)",Python
199,Data Operations Analysis,Lohum Cleantech Private Limited,Greater Noida,Greater Noida,3,20000-30000,"Python, MS-Excel, English Proficiency (Written)",MS-Excel
200,Data Operations Analysis,Lohum Cleantech Private Limited,Greater Noida,Greater Noida,3,20000-30000,"Python, MS-Excel, English Proficiency (Written)",English Proficiency (Written)
201,Data Annotator,KoiReader Technologies,Work From Home,Work From Home,3,4000-8000,"Machine Learning, Image Processing, Computer Vision, Natural Language Processing (NLP), Artifical Intelligence",Machine Learning
202,Data Annotator,KoiReader Technologies,Work From Home,Work From Home,3,4000-8000,"Machine Learning, Image Processing, Computer Vision, Natural Language Processing (NLP), Artifical Intelligence",Image Processing
203,Data Annotator,KoiReader Technologies,Work From Home,Work From Home,3,4000-8000,"Machine Learning, Image Processing, Computer Vision, Natural Language Processing (NLP), Artifical Intelligence",Computer Vision
204,Data Annotator,KoiReader Technologies,Work From Home,Work From Home,3,4000-8000,"Machine Learning, Image Processing, Computer Vision, Natural Language Processing (NLP), Artifical Intelligence",Natural Language Processing (NLP)
205,Data Annotator,KoiReader Technologies,Work From Home,Work From Home,3,4000-8000,"Machine Learning, Image Processing, Computer Vision, Natural Language Processing (NLP), Artifical Intelligence",Artifical Intelligence
206,Data Analytics,Divoc Health,Delhi,Delhi,3,6000-9000,Not Found,nan
207,Data Analytics,Propellum Infotech,Mumbai,Mumbai,3,10000,"HTML, SQL, MS-Excel",HTML
208,Data Analytics,Propellum Infotech,Mumbai,Mumbai,3,10000,"HTML, SQL, MS-Excel",MySQL
209,Data Analytics,Propellum Infotech,Mumbai,Mumbai,3,10000,"HTML, SQL, MS-Excel",MS-Excel
210,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Google Analytics
211,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Google Analytics
212,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Google Analytics
213,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Google Analytics
214,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Google Analytics
215,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Google Analytics
216,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-PowerPoint
217,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-PowerPoint
218,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-PowerPoint
219,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-PowerPoint
220,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-PowerPoint
221,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-PowerPoint
222,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Data Analytics
223,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Data Analytics
224,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Data Analytics
225,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Data Analytics
226,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Data Analytics
227,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Data Analytics
228,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Statistical Modeling
229,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Statistical Modeling
230,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Statistical Modeling
231,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Statistical Modeling
232,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Statistical Modeling
233,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Statistical Modeling
234,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-Excel
235,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-Excel
236,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-Excel
237,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-Excel
238,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-Excel
239,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",MS-Excel
240,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Economics
241,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Economics
242,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Economics
243,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Economics
244,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Economics
245,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Economics
246,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Chennai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Research and Analytics
247,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Delhi,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Research and Analytics
248,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Pune,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Research and Analytics
249,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Bangalore,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Research and Analytics
250,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Hyderabad,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Research and Analytics
251,Research Analytics,Torre Capital,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai",Mumbai,3,8000,"Google Analytics, MS-PowerPoint, Data Analytics, Statistical Modeling, MS-Excel, Economics, Research and Analytics",Research and Analytics
252,Business Analytics,Arustu Technology Private Limited,Jaipur,Jaipur,6,15000,English Proficiency (Spoken),English Proficiency (Spoken)
253,Machine Learning,IQGateway,Work From Home,Work From Home,6,15000-20000,"Python, Mathematics, Machine Learning",Python
254,Machine Learning,IQGateway,Work From Home,Work From Home,6,15000-20000,"Python, Mathematics, Machine Learning",Mathematics
255,Machine Learning,IQGateway,Work From Home,Work From Home,6,15000-20000,"Python, Mathematics, Machine Learning",Machine Learning
256,Data Science,KUKbit Software Lab,Pune,Pune,1,15000,"Python, Machine Learning",Python
257,Data Science,KUKbit Software Lab,Pune,Pune,1,15000,"Python, Machine Learning",Machine Learning
258,Data Analytics,TrendyDice,Work From Home,Work From Home,3,10000,"Python, Data Analytics, Data Science",Python
259,Data Analytics,TrendyDice,Work From Home,Work From Home,3,10000,"Python, Data Analytics, Data Science",Data Analytics
260,Data Analytics,TrendyDice,Work From Home,Work From Home,3,10000,"Python, Data Analytics, Data Science",Data Science
261,DevOps Engineering,Helping Hand,Work From Home,Work From Home,3,1000,Not Found,nan
262,Deep Learning,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Computer Vision, Deep Learning, Artifical Intelligence",Python
263,Deep Learning,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Computer Vision, Deep Learning, Artifical Intelligence",Machine Learning
264,Deep Learning,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Computer Vision, Deep Learning, Artifical Intelligence",Computer Vision
265,Deep Learning,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Computer Vision, Deep Learning, Artifical Intelligence",Deep Learning
266,Deep Learning,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Computer Vision, Deep Learning, Artifical Intelligence",Artifical Intelligence
267,Natural Language Processing,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Python
268,Natural Language Processing,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Machine Learning
269,Natural Language Processing,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Natural Language Processing (NLP)
270,Natural Language Processing,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Deep Learning
271,Natural Language Processing,Braynix AI LLP,Work From Home,Work From Home,1,1000,"Python, Machine Learning, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Artifical Intelligence
272,Business Analytics & Research,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Research and Analytics",MS-PowerPoint
273,Business Analytics & Research,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Research and Analytics",Data Analytics
274,Business Analytics & Research,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Research and Analytics",MS-Excel
275,Business Analytics & Research,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Research and Analytics",Research and Analytics
276,Financial Analysis,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Financial Modeling",MS-PowerPoint
277,Financial Analysis,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Financial Modeling",Data Analytics
278,Financial Analysis,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Financial Modeling",MS-Excel
279,Financial Analysis,P2L Impact Learning Empowers Private Limited,Work From Home,Work From Home,2,2000,"MS-PowerPoint, Data Analytics, MS-Excel, Financial Modeling",Financial Modeling
280,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",MySQL
281,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",MySQL
282,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",MySQL
283,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Python
284,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Python
285,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Python
286,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",MySQL
287,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",MySQL
288,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",MySQL
289,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Unix
290,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Unix
291,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Unix
292,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Django
293,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Django
294,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Django
295,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Machine Learning
296,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Machine Learning
297,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",Machine Learning
298,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Chennai,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",PostgreSQL
299,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Delhi,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",PostgreSQL
300,Machine Learning Engineering,Bulkbyte Company,"Chennai, Delhi, Noida",Noida,6,7500-15000,"MySQL, Python, SQL, Unix, Django, Machine Learning, PostgreSQL",PostgreSQL
301,Machine Learning & Deep Learning,Start-Tech Academy,Gurgaon,Gurgaon,2,10000,"Machine Learning, English Proficiency (Written), Deep Learning",Machine Learning
302,Machine Learning & Deep Learning,Start-Tech Academy,Gurgaon,Gurgaon,2,10000,"Machine Learning, English Proficiency (Written), Deep Learning",English Proficiency (Written)
303,Machine Learning & Deep Learning,Start-Tech Academy,Gurgaon,Gurgaon,2,10000,"Machine Learning, English Proficiency (Written), Deep Learning",Deep Learning
304,Data Management (Quality),Bonito Designs Private Limited,Bangalore,Bangalore,2,10000,"MS-Office, MS-Word, MS-Excel",MS-Office
305,Data Management (Quality),Bonito Designs Private Limited,Bangalore,Bangalore,2,10000,"MS-Office, MS-Word, MS-Excel",MS-Word
306,Data Management (Quality),Bonito Designs Private Limited,Bangalore,Bangalore,2,10000,"MS-Office, MS-Word, MS-Excel",MS-Excel
307,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Python
308,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",MySQL
309,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Data Analytics
310,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Machine Learning
311,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Computer Vision
312,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Data Science
313,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Neural Networks
