id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
42,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",MySQL
43,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Python
44,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Python
45,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",MySQL
46,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",MySQL
47,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Algorithms
48,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Algorithms
49,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Data Structures
50,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Data Structures
51,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Data Analytics
